,X,Year,Location,Event,Athelete,Country,Medal,Time,TimeFormat,Altitude,minutes,seconds,totalseconds,MedalCode
288,288,1988,"Calgary, Canada",1000m Women,Christa Rothenburger,GDR,GOLD,01:17.6,01:17.6,1048,60,17.65,77.65,3
291,291,1988,"Calgary, Canada",1500m Women,Yvonne van Gennip,NED,GOLD,02:00.7,02:00.7,1048,120,0.68,120.68,3
294,294,1988,"Calgary, Canada",3000m Women,Yvonne van Gennip,NED,GOLD,04:11.9,04:11.9,1048,240,11.94,251.94,3
297,297,1988,"Calgary, Canada",5000m Women,Yvonne van Gennip,NED,GOLD,07:14.1,07:14.1,1048,420,14.13,434.13,3
300,300,1992,"Albertville, France",500m Men,Uwe-Jens Mey,GER,GOLD,37.14,00:37.1,352,0,37.14,37.14,3
303,303,1992,"Albertville, France",1000m Men,Olaf Zinke,GER,GOLD,01:14.8,01:14.8,352,60,14.85,74.85,3
306,306,1992,"Albertville, France",1500m Men,Johann Koss,NOR,GOLD,01:54.8,01:54.8,352,60,54.81,114.81,3
309,309,1992,"Albertville, France",5000m Men,Geir Karlstad,NOR,GOLD,07:00.0,07:00.0,352,360,59.97,419.97,3
312,312,1992,"Albertville, France",10000m Men,Bart Veldkamp,NED,GOLD,14:12.1,14:12.1,352,840,12.12,852.12,3
315,315,1992,"Albertville, France",500m Women,Bonnie Blair,USA,GOLD,40.33,00:40.3,352,0,40.33,40.33,3
318,318,1992,"Albertville, France",1000m Women,Bonnie Blair,USA,GOLD,01:21.9,01:21.9,352,60,21.9,81.9,3
321,321,1992,"Albertville, France",1500m Women,Jacqueline BÃ¶rner,GER,GOLD,02:05.9,02:05.9,352,120,5.87,125.87,3
324,324,1992,"Albertville, France",3000m Women,Gunda Niemann,GER,GOLD,04:19.9,04:19.9,352,240,19.9,259.9,3
327,327,1992,"Albertville, France",5000m Women,Gunda Niemann,GER,GOLD,07:31.6,07:31.6,352,420,31.57,451.57,3
330,330,1992,"Albertville, France",1000m Short Track Men,Ki-Hoon Kim,KOR,GOLD,01:30.8,01:30.8,352,60,30.76,90.76,3
333,333,1992,"Albertville, France",5000m Short Track Relay Men,Joon-Ho Lee,KOR,GOLD,07:14.0,07:14.0,352,420,14.02,434.02,3
334,334,1992,"Albertville, France",5000m Short Track Relay Men,Ji-Su Mo,KOR,GOLD,07:14.0,07:14.0,352,420,14.02,434.02,3
335,335,1992,"Albertville, France",5000m Short Track Relay Men,Ki-Hoon Kim,KOR,GOLD,07:14.0,07:14.0,352,420,14.02,434.02,3
336,336,1992,"Albertville, France",5000m Short Track Relay Men,Jae-Kun Song,KOR,GOLD,07:14.0,07:14.0,352,420,14.02,434.02,3
345,345,1992,"Albertville, France",500m Short Track Women,Cathy Turner,USA,GOLD,47.04,00:47.0,352,0,47.04,47.04,3
348,348,1992,"Albertville, France",3000m Short Track Relay Women,Angela Cutrone,CAN,GOLD,04:36.6,04:36.6,352,240,36.62,276.62,3
349,349,1992,"Albertville, France",3000m Short Track Relay Women,Sylvie Daigle,CAN,GOLD,04:36.6,04:36.6,352,240,36.62,276.62,3
350,350,1992,"Albertville, France",3000m Short Track Relay Women,Nathalie Lambert,CAN,GOLD,04:36.6,04:36.6,352,240,36.62,276.62,3
351,351,1992,"Albertville, France",3000m Short Track Relay Women,Annie Perreault,CAN,GOLD,04:36.6,04:36.6,352,240,36.62,276.62,3
360,360,1994,"Lillehammer, Norway",500m Men,Aleksandr Golubev,RUS,GOLD,36.33,00:36.3,180,0,36.33,36.33,3
363,363,1994,"Lillehammer, Norway",1000m Men,Dan Jansen,USA,GOLD,01:12.4,01:12.4,180,60,12.43,72.43,3
366,366,1994,"Lillehammer, Norway",1500m Men,Johann Koss,NOR,GOLD,01:51.3,01:51.3,180,60,51.29,111.29,3
369,369,1994,"Lillehammer, Norway",5000m Men,Johann Koss,NOR,GOLD,06:35.0,06:35.0,180,360,34.96,394.96,3
372,372,1994,"Lillehammer, Norway",10000m Men,Johann Koss,NOR,GOLD,13:30.6,13:30.6,180,780,30.55,810.55,3
375,375,1994,"Lillehammer, Norway",500m Women,Bonnie Blair,USA,GOLD,39.25,00:39.3,180,0,39.25,39.25,3
378,378,1994,"Lillehammer, Norway",1000m Women,Bonnie Blair,USA,GOLD,01:18.7,01:18.7,180,60,18.74,78.74,3
381,381,1994,"Lillehammer, Norway",1500m Women,Emese Hunyady,AUT,GOLD,02:02.2,02:02.2,180,120,2.19,122.19,3
384,384,1994,"Lillehammer, Norway",3000m Women,Svetlana Bashanova,RUS,GOLD,04:17.4,04:17.4,180,240,17.43,257.43,3
387,387,1994,"Lillehammer, Norway",5000m Women,Claudia Pechstein,GER,GOLD,07:14.4,07:14.4,180,420,14.37,434.37,3
390,390,1994,"Lillehammer, Norway",500m Short Track Men,Ji-Hoon Chae,KOR,GOLD,43.45,00:43.5,180,0,43.45,43.45,3
393,393,1994,"Lillehammer, Norway",1000m Short Track Men,Ki-Hoon Kim,KOR,GOLD,01:34.6,01:34.6,180,60,34.57,94.57,3
396,396,1994,"Lillehammer, Norway",5000m Short Track Relay Men,Orazio Fagone,ITA,GOLD,07:11.7,07:11.7,180,420,11.74,431.74,3
397,397,1994,"Lillehammer, Norway",5000m Short Track Relay Men,Hugo Herrnhof,ITA,GOLD,07:11.7,07:11.7,180,420,11.74,431.74,3
398,398,1994,"Lillehammer, Norway",5000m Short Track Relay Men,Maurizio Carnino,ITA,GOLD,07:11.7,07:11.7,180,420,11.74,431.74,3
399,399,1994,"Lillehammer, Norway",5000m Short Track Relay Men,Mirko Vuillermin,ITA,GOLD,07:11.7,07:11.7,180,420,11.74,431.74,3
408,408,1994,"Lillehammer, Norway",500m Short Track Women,Cathy Turner,USA,GOLD,45.98,00:46.0,180,0,45.98,45.98,3
411,411,1994,"Lillehammer, Norway",1000m Short Track Women,Lee-Kyung Chun,KOR,GOLD,01:36.9,01:36.9,180,60,36.87,96.87,3
414,414,1994,"Lillehammer, Norway",3000m Short Track Relay Women,So-Hee Kim,KOR,GOLD,04:26.6,04:26.6,180,240,26.64,266.64,3
415,415,1994,"Lillehammer, Norway",3000m Short Track Relay Women,Yoon-Mi Kim,KOR,GOLD,04:26.6,04:26.6,180,240,26.64,266.64,3
416,416,1994,"Lillehammer, Norway",3000m Short Track Relay Women,Lee-Kyung Chun,KOR,GOLD,04:26.6,04:26.6,180,240,26.64,266.64,3
417,417,1994,"Lillehammer, Norway",3000m Short Track Relay Women,Hye-Kyung Won,KOR,GOLD,04:26.6,04:26.6,180,240,26.64,266.64,3
426,426,1998,"Nagano, Japan",500m Men,Hiroyasu Shimizu,JPN,GOLD,01:11.4,01:11.4,300,60,11.35,71.35,3
429,429,1998,"Nagano, Japan",1000m Men,Ids Postma,NED,GOLD,01:10.6,01:10.6,300,60,10.64,70.64,3
432,432,1998,"Nagano, Japan",1500m Men,Ã…dne SÃ¸ndrÃ¥l,NOR,GOLD,01:47.9,01:47.9,300,60,47.87,107.87,3
435,435,1998,"Nagano, Japan",5000m Men,Gianni Romme,NED,GOLD,06:22.2,06:22.2,300,360,22.2,382.2,3
438,438,1998,"Nagano, Japan",10000m Men,Gianni Romme,NED,GOLD,13:15.3,13:15.3,300,780,15.33,795.33,3
441,441,1998,"Nagano, Japan",500m Women,Catriona Lemay-Doan,CAN,GOLD,01:16.6,01:16.6,300,60,16.6,76.6,3
444,444,1998,"Nagano, Japan",1000m Women,Marianne Timmer,NED,GOLD,01:16.5,01:16.5,300,60,16.51,76.51,3
447,447,1998,"Nagano, Japan",1500m Women,Marianne Timmer,NED,GOLD,01:57.6,01:57.6,300,60,57.58,117.58,3
450,450,1998,"Nagano, Japan",3000m Women,Gunda Niemann,GER,GOLD,04:07.3,04:07.3,300,240,7.29,247.29,3
453,453,1998,"Nagano, Japan",5000m Women,Claudia Pechstein,GER,GOLD,06:59.6,06:59.6,300,360,59.61,419.61,3
456,456,1998,"Nagano, Japan",500m Short Track Men,Takafumi Nishitani,JPN,GOLD,42.862,00:42.9,300,0,42.862,42.862,3
459,459,1998,"Nagano, Japan",1000m Short Track Men,Dong-Sung Kim,KOR,GOLD,01:32.4,01:32.4,300,60,32.375,92.375,3
462,462,1998,"Nagano, Japan",5000m Short Track Relay Men,Ã‰ric BÃ©dard,CAN,GOLD,07:06.1,07:06.1,300,420,6.075,426.075,3
463,463,1998,"Nagano, Japan",5000m Short Track Relay Men,Derrick Campbell,CAN,GOLD,07:06.1,07:06.1,300,420,6.075,426.075,3
464,464,1998,"Nagano, Japan",5000m Short Track Relay Men,Marc Gagnon,CAN,GOLD,07:06.1,07:06.1,300,420,6.075,426.075,3
465,465,1998,"Nagano, Japan",5000m Short Track Relay Men,Francois Drolet,CAN,GOLD,07:06.1,07:06.1,300,420,6.075,426.075,3
474,474,1998,"Nagano, Japan",500m Short Track Women,Annie Perreault,CAN,GOLD,46.568,00:46.6,300,0,46.568,46.568,3
477,477,1998,"Nagano, Japan",1000m Short Track Women,Lee-Kyung Chun,KOR,GOLD,01:42.8,01:42.8,300,60,42.776,102.776,3
480,480,1998,"Nagano, Japan",3000m Short Track Relay Women,Hye-Kyung Won,KOR,GOLD,04:16.3,04:16.3,300,240,16.26,256.26,3
481,481,1998,"Nagano, Japan",3000m Short Track Relay Women,Lee-Kyung Chun,KOR,GOLD,04:16.3,04:16.3,300,240,16.26,256.26,3
482,482,1998,"Nagano, Japan",3000m Short Track Relay Women,Yoon-Mi Kim,KOR,GOLD,04:16.3,04:16.3,300,240,16.26,256.26,3
483,483,1998,"Nagano, Japan",3000m Short Track Relay Women,Sang-Me An,KOR,GOLD,04:16.3,04:16.3,300,240,16.26,256.26,3
492,492,2002,"Salt Lake City, United States",500m Men,Casey FitzRandolph,USA,GOLD,69.23,01:09.2,1320,0,69.23,69.23,3
495,495,2002,"Salt Lake City, United States",1000m Men,Gerard van Velde,NED,GOLD,01:07.2,01:07.2,1320,60,7.18,67.18,3
498,498,2002,"Salt Lake City, United States",1500m Men,Derek Parra,USA,GOLD,01:44.0,01:44.0,1320,60,43.95,103.95,3
501,501,2002,"Salt Lake City, United States",5000m Men,Jochem Uytdehaage,NED,GOLD,06:14.7,06:14.7,1320,360,14.66,374.66,3
504,504,2002,"Salt Lake City, United States",10000m Men,Jochem Uytdehaage,NED,GOLD,12:58.9,12:58.9,1320,720,58.92,778.92,3
507,507,2002,"Salt Lake City, United States",500m Women,Catriona Lemay-Doan,CAN,GOLD,01:14.8,01:14.8,1320,60,14.75,74.75,3
510,510,2002,"Salt Lake City, United States",1000m Women,Christine Witty,USA,GOLD,01:13.8,01:13.8,1320,60,13.83,73.83,3
513,513,2002,"Salt Lake City, United States",1500m Women,Anna Friesinger,GER,GOLD,01:54.0,01:54.0,1320,60,54.02,114.02,3
516,516,2002,"Salt Lake City, United States",3000m Women,Claudia Pechstein,GER,GOLD,03:57.7,03:57.7,1320,180,57.7,237.7,3
519,519,2002,"Salt Lake City, United States",5000m Women,Claudia Pechstein,GER,GOLD,06:46.9,06:46.9,1320,360,46.91,406.91,3
522,522,2002,"Salt Lake City, United States",500m Short Track Men,Marc Gagnon,CAN,GOLD,41.802,00:41.8,1320,0,41.802,41.802,3
525,525,2002,"Salt Lake City, United States",1000m Short Track Men,Steven Bradbury,AUS,GOLD,01:29.1,01:29.1,1320,60,29.109,89.109,3
528,528,2002,"Salt Lake City, United States",5000m Short Track Relay Men,Mathieu Turcotte,CAN,GOLD,06:51.6,06:51.6,1320,360,51.579,411.579,3
529,529,2002,"Salt Lake City, United States",5000m Short Track Relay Men,Francois-Louis Tremblay,CAN,GOLD,06:51.6,06:51.6,1320,360,51.579,411.579,3
530,530,2002,"Salt Lake City, United States",5000m Short Track Relay Men,Jonathan Guilmette,CAN,GOLD,06:51.6,06:51.6,1320,360,51.579,411.579,3
531,531,2002,"Salt Lake City, United States",5000m Short Track Relay Men,Marc Gagnon,CAN,GOLD,06:51.6,06:51.6,1320,360,51.579,411.579,3
540,540,2002,"Salt Lake City, United States",1500m Short Track Men,Apolo Anton Ohno,USA,GOLD,02:18.5,02:18.5,1320,120,18.541,138.541,3
543,543,2002,"Salt Lake City, United States",500m Short Track Women,Yang (A) Yang,CHN,GOLD,44.187,00:44.2,1320,0,44.187,44.187,3
546,546,2002,"Salt Lake City, United States",1000m Short Track Women,Yang (A) Yang,CHN,GOLD,01:36.4,01:36.4,1320,60,36.391,96.391,3
549,549,2002,"Salt Lake City, United States",3000m Short Track Relay Women,Hye-Won Park,KOR,GOLD,04:12.8,04:12.8,1320,240,12.793,252.793,3
550,550,2002,"Salt Lake City, United States",3000m Short Track Relay Women,Min-Jin Joo,KOR,GOLD,04:12.8,04:12.8,1320,240,12.793,252.793,3
551,551,2002,"Salt Lake City, United States",3000m Short Track Relay Women,Eun-Kyung Choi,KOR,GOLD,04:12.8,04:12.8,1320,240,12.793,252.793,3
552,552,2002,"Salt Lake City, United States",3000m Short Track Relay Women,Min-Kyung Choi,KOR,GOLD,04:12.8,04:12.8,1320,240,12.793,252.793,3
561,561,2002,"Salt Lake City, United States",1500m Short Track Women,Gi-Hyun Ko,KOR,GOLD,02:31.6,02:31.6,1320,120,31.581,151.581,3
564,564,2006,"Turin, Italy",500m Men,Apolo Anton Ohno,USA,GOLD,69.76,01:09.8,239,0,69.76,69.76,3
567,567,2006,"Turin, Italy",1000m Men,Shani Davis,USA,GOLD,01:08.9,01:08.9,239,60,8.9,68.9,3
570,570,2006,"Turin, Italy",1500m Men,Enrico Fabris,ITA,GOLD,01:46.0,01:46.0,239,60,46,106,3
573,573,2006,"Turin, Italy",5000m Men,Chad Hedrick,USA,GOLD,06:14.7,06:14.7,239,360,14.7,374.7,3
576,576,2006,"Turin, Italy",10000m Men,Bob de Jong,NED,GOLD,13:01.6,13:01.6,239,780,1.6,781.6,3
579,579,2006,"Turin, Italy",Team Pursuit Men,Ippolito Sanfratello,ITA,GOLD,03:44.0,03:44.0,239,180,44,224,3
580,580,2006,"Turin, Italy",Team Pursuit Men,Stefano Donagrandi,ITA,GOLD,03:44.0,03:44.0,239,180,44,224,3
581,581,2006,"Turin, Italy",Team Pursuit Men,Enrico Fabris,ITA,GOLD,03:44.0,03:44.0,239,180,44,224,3
582,582,2006,"Turin, Italy",Team Pursuit Men,Matteo Anesi,ITA,GOLD,03:44.0,03:44.0,239,180,44,224,3
593,593,2006,"Turin, Italy",500m Women,Svetlana Zhurova,RUS,GOLD,76.57,01:16.6,239,0,76.57,76.57,3
596,596,2006,"Turin, Italy",1000m Women,Marianne Timmer,NED,GOLD,01:16.1,01:16.1,239,60,16.1,76.1,3
599,599,2006,"Turin, Italy",1500m Women,Cindy Klassen,CAN,GOLD,01:55.3,01:55.3,239,60,55.3,115.3,3
602,602,2006,"Turin, Italy",3000m Women,Ireen WÃ_st,NED,GOLD,04:02.4,04:02.4,239,240,2.4,242.4,3
605,605,2006,"Turin, Italy",5000m Women,Clara Hughes,CAN,GOLD,06:59.1,06:59.1,239,360,59.1,419.1,3
608,608,2006,"Turin, Italy",Team Pursuit Women,Claudia Pechstein,GER,GOLD,03:01.3,03:01.3,239,180,1.3,181.3,3
609,609,2006,"Turin, Italy",Team Pursuit Women,Anna Friesinger,GER,GOLD,03:01.3,03:01.3,239,180,1.3,181.3,3
610,610,2006,"Turin, Italy",Team Pursuit Women,Daniela AnschÃ_tz-Thoms,GER,GOLD,03:01.3,03:01.3,239,180,1.3,181.3,3
611,611,2006,"Turin, Italy",Team Pursuit Women,Sabine VÃ¶lker,GER,GOLD,03:01.3,03:01.3,239,180,1.3,181.3,3
612,612,2006,"Turin, Italy",Team Pursuit Women,Lucille Opitz,GER,GOLD,03:01.3,03:01.3,239,180,1.3,181.3,3
623,623,2006,"Turin, Italy",500m Short Track Men,Apolo Anton Ohno,USA,GOLD,41.935,00:41.9,239,0,41.935,41.935,3
626,626,2006,"Turin, Italy",1000m Short Track Men,Ahn Hyun-Soo,KOR,GOLD,01:26.7,01:26.7,239,60,26.7,86.7,3
629,629,2006,"Turin, Italy",5000m Short Track Relay Men,Ahn Hyun-Soo,KOR,GOLD,06:43.4,06:43.4,239,360,43.4,403.4,3
630,630,2006,"Turin, Italy",5000m Short Track Relay Men,Seo Ho-Jin,KOR,GOLD,06:43.4,06:43.4,239,360,43.4,403.4,3
631,631,2006,"Turin, Italy",5000m Short Track Relay Men,Lee Ho-Suk,KOR,GOLD,06:43.4,06:43.4,239,360,43.4,403.4,3
632,632,2006,"Turin, Italy",5000m Short Track Relay Men,Song Suk-Woo,KOR,GOLD,06:43.4,06:43.4,239,360,43.4,403.4,3
641,641,2006,"Turin, Italy",1500m Short Track Men,Ahn Hyun-Soo,KOR,GOLD,02:25.3,02:25.3,239,120,25.3,145.3,3
644,644,2006,"Turin, Italy",500m Short Track Women,Wang Meng,CHN,GOLD,44.345,00:44.3,239,0,44.345,44.345,3
647,647,2006,"Turin, Italy",1000m Short Track Women,Jin Sun-Yu,KOR,GOLD,01:32.9,01:32.9,239,60,32.9,92.9,3
650,650,2006,"Turin, Italy",3000m Short Track Relay Women,Jin Sun-Yu,KOR,GOLD,04:17.0,04:17.0,239,240,17,257,3
651,651,2006,"Turin, Italy",3000m Short Track Relay Women,Eun-Kyung Choi,KOR,GOLD,04:17.0,04:17.0,239,240,17,257,3
652,652,2006,"Turin, Italy",3000m Short Track Relay Women,Byun Chun-Sa,KOR,GOLD,04:17.0,04:17.0,239,240,17,257,3
653,653,2006,"Turin, Italy",3000m Short Track Relay Women,Jeon Da-Hye,KOR,GOLD,04:17.0,04:17.0,239,240,17,257,3
661,661,2006,"Turin, Italy",1500m Short Track Women,Jin Sun-Yu,KOR,GOLD,02:23.5,02:23.5,239,120,23.5,143.5,3
664,664,2010,"Vancouver, Canada",500m Men,Mo Tae-Bum,KOR,GOLD,69.82,01:09.8,21,0,69.82,69.82,3
667,667,2010,"Vancouver, Canada",1000m Men,Shani Davis,USA,GOLD,01:08.9,01:08.9,21,60,8.94,68.94,3
670,670,2010,"Vancouver, Canada",1500m Men,Mark Tuitert,NED,GOLD,01:45.6,01:45.6,21,60,45.57,105.57,3
673,673,2010,"Vancouver, Canada",5000m Men,Sven Kramer,NED,GOLD,06:14.6,06:14.6,21,360,14.6,374.6,3
676,676,2010,"Vancouver, Canada",10000m Men,Lee Seung-Hoon,KOR,GOLD,12:58.5,12:58.5,21,720,58.55,778.55,3
679,679,2010,"Vancouver, Canada",Team Pursuit Men,Mathieu Giroux,CAN,GOLD,03:41.4,03:41.4,21,180,41.37,221.37,3
680,680,2010,"Vancouver, Canada",Team Pursuit Men,Lucas Makowsky,CAN,GOLD,03:41.4,03:41.4,21,180,41.37,221.37,3
681,681,2010,"Vancouver, Canada",Team Pursuit Men,Denny Morrison,CAN,GOLD,03:41.4,03:41.4,21,180,41.37,221.37,3
690,690,2010,"Vancouver, Canada",500m Women,Lee Sang-Hwa,KOR,GOLD,76.09,01:16.1,21,0,76.09,76.09,3
693,693,2010,"Vancouver, Canada",1000m Women,Christine Nesbitt,CAN,GOLD,01:16.6,01:16.6,21,60,16.56,76.56,3
696,696,2010,"Vancouver, Canada",1500m Women,Ireen WÃ_st,NED,GOLD,01:56.9,01:56.9,21,60,56.89,116.89,3
699,699,2010,"Vancouver, Canada",3000m Women,Martina SÃ¡blÃ_kovÃ¡,CZE,GOLD,04:02.5,04:02.5,21,240,2.53,242.53,3
702,702,2010,"Vancouver, Canada",5000m Women,Martina SÃ¡blÃ_kovÃ¡,CZE,GOLD,06:50.9,06:50.9,21,360,50.92,410.92,3
705,705,2010,"Vancouver, Canada",Team Pursuit Women,Daniela AnschÃ_tz-Thoms,GER,GOLD,03:02.8,03:02.8,21,180,2.82,182.82,3
706,706,2010,"Vancouver, Canada",Team Pursuit Women,Stephanie Beckert,GER,GOLD,03:02.8,03:02.8,21,180,2.82,182.82,3
707,707,2010,"Vancouver, Canada",Team Pursuit Women,Anni Friesinger-Postma,GER,GOLD,03:02.8,03:02.8,21,180,2.82,182.82,3
708,708,2010,"Vancouver, Canada",Team Pursuit Women,Katrin Mattscherodt,GER,GOLD,03:02.8,03:02.8,21,180,2.82,182.82,3
715,715,2010,"Vancouver, Canada",500m Short Track Men,Charles Hamelin,CAN,GOLD,40.981,00:41.0,21,0,40.981,40.981,3
718,718,2010,"Vancouver, Canada",1000m Short Track Men,Lee Jung-Su,KOR,GOLD,01:23.7,01:23.7,21,60,23.747,83.747,3
721,721,2010,"Vancouver, Canada",1500m Short Track Men,Lee Jung-Su,KOR,GOLD,02:17.6,02:17.6,21,120,17.611,137.611,3
724,724,2010,"Vancouver, Canada",5000m Short Track Relay Men,Charles Hamelin,CAN,GOLD,06:44.2,06:44.2,21,360,44.224,404.224,3
725,725,2010,"Vancouver, Canada",5000m Short Track Relay Men,FranÃ§ois Hamelin,CAN,GOLD,06:44.2,06:44.2,21,360,44.224,404.224,3
726,726,2010,"Vancouver, Canada",5000m Short Track Relay Men,Olivier Jean,CAN,GOLD,06:44.2,06:44.2,21,360,44.224,404.224,3
727,727,2010,"Vancouver, Canada",5000m Short Track Relay Men,FranÃ§ois-Louis Tremblay,CAN,GOLD,06:44.2,06:44.2,21,360,44.224,404.224,3
736,736,2010,"Vancouver, Canada",500m Short Track Women,Wang Meng,CHN,GOLD,43.048,00:43.0,21,0,43.048,43.048,3
739,739,2010,"Vancouver, Canada",1000m Short Track Women,Wang Meng,CHN,GOLD,01:29.2,01:29.2,21,60,29.213,89.213,3
742,742,2010,"Vancouver, Canada",1500m Short Track Women,Zhou Yang,CHN,GOLD,02:17.0,02:17.0,21,120,16.993,136.993,3
745,745,2010,"Vancouver, Canada",3000m Short Track Relay Women,Sun Linlin,CHN,GOLD,04:06.6,04:06.6,21,240,6.61,246.61,3
746,746,2010,"Vancouver, Canada",3000m Short Track Relay Women,Wang Meng,CHN,GOLD,04:06.6,04:06.6,21,240,6.61,246.61,3
747,747,2010,"Vancouver, Canada",3000m Short Track Relay Women,Zhang Hui,CHN,GOLD,04:06.6,04:06.6,21,240,6.61,246.61,3
748,748,2010,"Vancouver, Canada",3000m Short Track Relay Women,Zhou Yang,CHN,GOLD,04:06.6,04:06.6,21,240,6.61,246.61,3
749,749,2013,"Sochi, Russia",0,0,0,0,00:00.0,00:00.0,34,0,0,0,0
